omega,repetition,precision,recall,f1
2.0,0,1.0,0.2693310165073849,0.4243668720054757
2.5,0,1.0,0.26976542137271936,0.4249059185768046
3.0,0,1.0,0.2797567332754127,0.4372029871011541
3.5,0,0.9984567901234568,0.28105994787141614,0.4386440677966102
4.0,0,1.0,0.27150304083405735,0.4270584215920738
4.5,0,1.0,0.2645525629887055,0.41841291652353146
5.0,0,0.9950413223140496,0.26151172893136404,0.41417268661850704
5.5,0,0.9981751824817519,0.237619461337967,0.383859649122807
6.0,0,1.0,0.2315377932232841,0.3760141093474427
6.5,0,0.9960552268244576,0.21937445699391833,0.3595585617657529
7.0,0,0.9959919839679359,0.2158992180712424,0.35487325955016064
7.5,0,0.9875,0.17158992180712423,0.29237601776461886
8.0,0,0.9918256130790191,0.158123370981755,0.27276133383289625
8.5,0,0.9855907780979827,0.14856646394439618,0.2582106455266138
9.0,0,0.5305216426193119,0.20764552562988706,0.29847018420231036
9.5,0,0.4421052631578947,0.18245004344048654,0.25830258302583026
10.0,0,0.42505854800936765,0.1576889661164205,0.23003802281368818
10.5,0,0.3255069370330843,0.13249348392701998,0.1883297313985798
11.0,0,0.28456221198156684,0.10729800173761946,0.15583596214511042
12.0,0,0.20430107526881722,0.08253692441355343,0.11757425742574257
13.0,0,0.12633832976445397,0.051259774109470024,0.07292954264524104
14.0,0,0.058885383806519455,0.02432667245873154,0.0344297571472487
15.0,0,0.01251303441084463,0.005212858384013901,0.007359705611775528
