shift,repetition,precision,recall,f1
0.0,0,0.017889908256880735,0.03388357949609035,0.023416391474031822
0.0,1,0.016263835554551614,0.03127715030408341,0.02139991083370486
0.0,2,0.015829318651066758,0.02997393570807993,0.020717609968473206
0.0,3,0.01757188498402556,0.03344917463075586,0.023040095751047276
0.0,4,0.01843742797879696,0.03475238922675934,0.024092757114892338
0.0,5,0.021587587137395996,0.04170286707211121,0.028448659060601567
0.0,6,0.015349369988545246,0.029105125977410946,0.020098995050247485
0.0,7,0.017523633848282223,0.03301476976542137,0.022895014309383944
0.0,8,0.021050248981439566,0.04039965247610773,0.02767857142857143
0.0,9,0.016584910067741182,0.030842745438748913,0.02157071244113626
0.5,0,0.07303857824013871,0.14639443961772372,0.09745517640254482
0.5,1,0.07645525629887055,0.1529105125977411,0.10194034173182742
0.5,2,0.071787039057386,0.1429192006950478,0.09557007988380538
0.5,3,0.07191927866036926,0.14552562988705472,0.09626436781609196
0.5,4,0.08132592135062797,0.17158992180712423,0.11035060762676353
0.5,5,0.07656216677329922,0.15595134665508253,0.10270347589758261
0.5,6,0.06988672793331908,0.1420503909643788,0.09368285345938976
0.5,7,0.07547169811320754,0.1529105125977411,0.10106230261269021
0.5,8,0.07620263942103023,0.15551694178974804,0.10228571428571429
0.5,9,0.07038312526904865,0.1420503909643788,0.09412780656303973
1.0,0,0.1793570219966159,0.4144222415291051,0.2503608450334602
1.0,1,0.1929724596391263,0.4413553431798436,0.26853442579622044
1.0,2,0.17840197380907194,0.40834057341442226,0.24831594241183466
1.0,3,0.17754372766597706,0.4100781928757602,0.24780154875967977
1.0,4,0.186924666541424,0.4322328410078193,0.260983606557377
1.0,5,0.1843204252088079,0.4218071242397915,0.25653896961690886
1.0,6,0.18963850763580128,0.4261511728931364,0.2624749163879599
1.0,7,0.17744389501711677,0.4052997393570808,0.2468253968253968
1.0,8,0.17874577544123169,0.4135534317984361,0.2496067121132669
1.0,9,0.17827142057121523,0.41485664639443964,0.24937981459720587
1.5,0,0.2913240476590032,0.7541268462206777,0.42028810071419925
1.5,1,0.29320324127666614,0.7701998262380538,0.4247215235357528
1.5,2,0.2952571810287241,0.7680278019113814,0.4265379975874547
