shift,repetition,precision,recall,f1
0.0,0,0.0014371945961483186,0.002172024326672459,0.0017298045320878741
0.5,0,0.05787781350482315,0.03127715030408341,0.04060913705583757
1.0,0,0.23859817570811329,0.4317984361424848,0.30735930735930733
1.5,0,0.36716224951519066,0.4934839270199826,0.42105263157894735
2.0,0,0.42536210464085134,0.6251086012163336,0.5062445030782762
2.5,0,0.434947049924357,0.9991311902693311,0.6060606060606061
3.0,0,0.42446448703494927,0.6542137271937446,0.5148717948717948
3.5,0,0.43368500376789754,1.0,0.604993429697766
4.0,0,0.5162592509531285,1.0,0.680964354385446
4.5,0,0.43590229123272106,1.0,0.6071475669260187
5.0,0,0.4432036965729688,1.0,0.6141942369263607
5.5,0,0.4313284616825932,1.0,0.6026966880481738
6.0,0,0.42971812581668845,1.0,0.6011228619924273
6.5,0,0.4434598343286457,1.0,0.6144401441345255
