shift,repetition,precision,recall,f1
0.0,0,0.0026472534745201853,0.0034752389226759338,0.003005259203606311
0.0,1,0.0032269630692004303,0.003909643788010426,0.0035356511490866236
0.0,2,0.002592352559948153,0.0017376194613379669,0.002080624187256177
0.0,3,0.002509860164933668,0.0030408340573414424,0.002749950893734041
0.0,4,0.0035211267605633804,0.005212858384013901,0.004203152364273205
0.0,5,0.006097560975609756,0.009122502172024326,0.007309432648799165
0.0,6,0.0011685655857434998,0.0017376194613379669,0.0013973799126637551
0.0,7,0.003275466754012447,0.004344048653344918,0.0037348272642390287
0.0,8,0.004323656578134651,0.006081668114682885,0.005054151624548736
0.0,9,0.0057598582188746125,0.005647263249348393,0.005703005044966002
0.5,0,0.04211117349803481,0.06516072980017376,0.05115961800818553
0.5,1,0.7352941176470589,0.03258036490008688,0.06239600665557404
0.5,2,0.04265791632485644,0.0677671589921807,0.05235777815069642
0.5,3,0.03593890386343217,0.052128583840139006,0.04254564793476334
0.5,4,0.0311122634171636,0.052128583840139006,0.03896736483195324
0.5,5,0.5161290322580645,0.020851433536055605,0.04008350730688936
0.5,6,0.04520990312163617,0.07298001737619461,0.05583250249252243
0.5,7,0.9180327868852459,0.02432667245873154,0.047397376216673726
0.5,8,0.060723060723060725,0.07515204170286707,0.06717142302465541
0.5,9,0.04151773439648061,0.06559513466550826,0.050850311500252564
1.0,0,0.22402444757874942,0.41398783666377065,0.2907260524710189
1.0,1,0.24085510688836104,0.44048653344917466,0.31142506142506143
1.0,2,0.2289332683877253,0.40834057341442226,0.2933832709113608
1.0,3,0.2225645887651102,0.40790616854908773,0.2879926391657721
1.0,4,0.2546059365404299,0.4322328410078193,0.320450885668277
1.0,5,0.24141363862618218,0.42137271937445697,0.3069620253164557
1.0,6,0.2467924528301887,0.4261511728931364,0.31256969890074876
1.0,7,0.22582990065422825,0.40486533449174633,0.28993622647379064
1.0,8,0.2285645472061657,0.41225021720243266,0.2940811899597149
1.0,9,0.24986917844060702,0.41485664639443964,0.3118876551273677
1.5,0,0.3776375897324342,0.7541268462206777,0.5032613422235107
1.5,1,0.359078168794768,0.5008688097306689,0.4182840558679485
1.5,2,0.38720981165133594,0.7680278019113814,0.5148514851485149
1.5,3,0.3704474505723205,0.7732406602953953,0.5009145912480654
1.5,4,0.36292642827784627,0.7671589921807124,0.4927455357142857
1.5,5,0.3611341059602649,0.7580364900086881,0.48920661620409306
1.5,6,0.3788860103626943,0.762380538662033,0.5062013267955005
1.5,7,0.43813847900113506,0.5030408340573415,0.46835187057633976
1.5,8,0.38411739318083726,0.7732406602953953,0.5132641291810841
1.5,9,0.35956493921944976,0.4882710686359687,0.41414885777450255
2.0,0,0.42230312320367885,0.9574283231972198,0.5860922749634356
2.0,1,0.4236997523337779,0.9661164205039097,0.5890610515163556
2.0,2,0.4195643867023309,0.9539530842745438,0.5828025477707007
2.0,3,0.41606886657101866,0.629887054735013,0.5011232071885261
2.0,4,0.4310546875,0.9587315377932233,0.594718404742657
2.0,5,0.4468945984220109,0.9596003475238922,0.609799861973775
2.0,6,0.43132670952659263,0.9617723718505647,0.5955615332885004
2.0,7,0.42329055736448956,0.9600347523892268,0.5875315698524524
2.0,8,0.42198308993082245,0.9539530842745438,0.5851318944844125
